id,openId,nickName,headUri,grade,honor,score,honorNum,skin,skinNum,curExp,ranks,t_length,t_bestKill,t_linkKill,e_length,e_bestKill,e_linkKill,nextGradeExp,latestLogin,createTime,updateTime,gender,language,city,province,contry
2,1533192728711,1533192728711,http://localhost:8000/uri/head.png,0,小青蛇,75709,0,1,1,0,191,0,0,0,0,0,0,500,"2018-08-02 14:52:08","2018-08-02 14:52:08","2018-08-03 15:52:17",0,'','','',''
3,1533192733864,1533192733864,http://localhost:8000/uri/head.png,0,小青蛇,92279,0,1,1,0,67,0,0,0,0,0,0,500,"2018-08-02 14:52:13","2018-08-02 14:52:13","2018-08-03 15:52:17",0,'','','',''
4,1533192734494,1533192734494,http://localhost:8000/uri/head.png,0,小青蛇,3329,0,1,1,0,717,0,0,0,0,0,0,500,"2018-08-02 14:52:14","2018-08-02 14:52:14","2018-08-03 15:52:17",0,'','','',''
5,1533192734916,1533192734916,http://localhost:8000/uri/head.png,5,小青蛇,36642,0,1,1,8700,475,2000,10,6,0,0,0,16000,"2018-08-02 14:52:14","2018-08-02 14:52:14","2018-08-06 11:47:40",0,'','','',''
6,1533192735190,1533192735189,http://localhost:8000/uri/head.png,0,小青蛇,52271,0,1,1,0,358,0,0,0,0,0,0,500,"2018-08-02 14:52:15","2018-08-02 14:52:15","2018-08-03 15:52:17",0,'','','',''
7,1533192735437,1533192735437,http://localhost:8000/uri/head.png,0,小青蛇,41459,0,1,1,0,440,0,0,0,0,0,0,500,"2018-08-02 14:52:15","2018-08-02 14:52:15","2018-08-03 15:52:17",0,'','','',''
8,1533192735701,1533192735701,http://localhost:8000/uri/head.png,0,小青蛇,7906,0,1,1,0,683,0,0,0,0,0,0,500,"2018-08-02 14:52:15","2018-08-02 14:52:15","2018-08-03 15:52:17",0,'','','',''
9,1533192735932,1533192735932,http://localhost:8000/uri/head.png,0,小青蛇,71762,0,1,1,0,225,0,0,0,0,0,0,500,"2018-08-02 14:52:15","2018-08-02 14:52:15","2018-08-03 15:52:17",0,'','','',''
10,1533192736157,1533192736157,http://localhost:8000/uri/head.png,0,小青蛇,99216,0,1,1,0,7,0,0,0,0,0,0,500,"2018-08-02 14:52:16","2018-08-02 14:52:16","2018-08-03 15:52:17",0,'','','',''
11,1533192736340,1533192736339,http://localhost:8000/uri/head.png,0,小青蛇,97129,0,1,1,0,31,0,0,0,0,0,0,500,"2018-08-02 14:52:16","2018-08-02 14:52:16","2018-08-03 15:52:17",0,'','','',''
12,1533192736525,1533192736524,http://localhost:8000/uri/head.png,0,小青蛇,94831,0,1,1,0,52,0,0,0,0,0,0,500,"2018-08-02 14:52:16","2018-08-02 14:52:16","2018-08-03 15:52:17",0,'','','',''
13,1533192736705,1533192736705,http://localhost:8000/uri/head.png,0,小青蛇,32680,0,1,1,0,513,0,0,0,0,0,0,500,"2018-08-02 14:52:16","2018-08-02 14:52:16","2018-08-04 14:34:24",0,'','','',''
14,1533192737044,1533192737044,http://localhost:8000/uri/head.png,0,小青蛇,53271,0,1,1,0,350,0,0,0,0,0,0,500,"2018-08-02 14:52:17","2018-08-02 14:52:17","2018-08-03 15:52:17",0,'','','',''
15,1533192737243,1533192737243,http://localhost:8000/uri/head.png,0,小青蛇,12294,0,1,1,0,651,0,0,0,0,0,0,500,"2018-08-02 14:52:17","2018-08-02 14:52:17","2018-08-03 15:52:17",0,'','','',''
16,1533192737412,1533192737412,http://localhost:8000/uri/head.png,0,小青蛇,15577,0,1,1,0,633,0,0,0,0,0,0,500,"2018-08-02 14:52:17","2018-08-02 14:52:17","2018-08-03 15:52:17",0,'','','',''
17,1533192737580,1533192737580,http://localhost:8000/uri/head.png,0,小青蛇,76207,0,1,1,0,187,0,0,0,0,0,0,500,"2018-08-02 14:52:17","2018-08-02 14:52:17","2018-08-03 15:52:17",0,'','','',''
18,1533192952005,1533192952005,http://localhost:8000/uri/head.png,0,小青蛇,77686,0,1,1,0,177,0,0,0,0,0,0,500,"2018-08-02 14:55:52","2018-08-02 14:55:52","2018-08-03 15:52:17",0,'','','',''
19,1533192952551,1533192952550,http://localhost:8000/uri/head.png,0,小青蛇,88415,0,1,1,0,101,0,0,0,0,0,0,500,"2018-08-02 14:55:52","2018-08-02 14:55:52","2018-08-03 15:52:17",0,'','','',''
20,1533192952775,1533192952774,http://localhost:8000/uri/head.png,0,小青蛇,47509,0,1,1,0,397,0,0,0,0,0,0,500,"2018-08-02 14:55:52","2018-08-02 14:55:52","2018-08-03 15:52:17",0,'','','',''
21,1533192952957,1533192952957,http://localhost:8000/uri/head.png,0,小青蛇,53762,0,1,1,0,347,0,0,0,0,0,0,500,"2018-08-02 14:55:52","2018-08-02 14:55:52","2018-08-03 15:52:17",0,'','','',''
22,1533192953149,1533192953149,http://localhost:8000/uri/head.png,0,小青蛇,41719,0,1,1,0,438,0,0,0,0,0,0,500,"2018-08-02 14:55:53","2018-08-02 14:55:53","2018-08-03 15:52:17",0,'','','',''
23,1533192953315,1533192953315,http://localhost:8000/uri/head.png,0,小青蛇,70167,0,1,1,0,236,0,0,0,0,0,0,500,"2018-08-02 14:55:53","2018-08-02 14:55:53","2018-08-03 15:52:17",0,'','','',''
24,1533192953493,1533192953493,http://localhost:8000/uri/head.png,0,小青蛇,96814,0,1,1,0,34,0,0,0,0,0,0,500,"2018-08-02 14:55:53","2018-08-02 14:55:53","2018-08-03 15:52:17",0,'','','',''
25,1533192953659,1533192953659,http://localhost:8000/uri/head.png,0,小青蛇,9887,0,1,1,0,670,0,0,0,0,0,0,500,"2018-08-02 14:55:53","2018-08-02 14:55:53","2018-08-03 15:52:17",0,'','','',''
26,1533192953837,1533192953837,http://localhost:8000/uri/head.png,0,小青蛇,64098,0,1,1,0,279,0,0,0,0,0,0,500,"2018-08-02 14:55:53","2018-08-02 14:55:53","2018-08-03 15:52:17",0,'','','',''
27,1533192953998,1533192953998,http://localhost:8000/uri/head.png,0,小青蛇,46273,0,1,1,0,408,0,0,0,0,0,0,500,"2018-08-02 14:55:54","2018-08-02 14:55:54","2018-08-03 15:52:17",0,'','','',''
28,1533192954172,1533192954172,http://localhost:8000/uri/head.png,0,小青蛇,28355,0,1,1,0,544,0,0,0,0,0,0,500,"2018-08-02 14:55:54","2018-08-02 14:55:54","2018-08-03 15:52:17",0,'','','',''
29,1533192954334,1533192954333,http://localhost:8000/uri/head.png,0,小青蛇,46535,0,1,1,0,404,0,0,0,0,0,0,500,"2018-08-02 14:55:54","2018-08-02 14:55:54","2018-08-03 15:52:17",0,'','','',''
30,1533192954507,1533192954507,http://localhost:8000/uri/head.png,0,小青蛇,87035,0,1,1,0,117,0,0,0,0,0,0,500,"2018-08-02 14:55:54","2018-08-02 14:55:54","2018-08-03 15:52:17",0,'','','',''
31,1533192954679,1533192954678,http://localhost:8000/uri/head.png,0,小青蛇,97045,0,1,1,0,32,0,0,0,0,0,0,500,"2018-08-02 14:55:54","2018-08-02 14:55:54","2018-08-03 15:52:17",0,'','','',''
32,1533192954837,1533192954836,http://localhost:8000/uri/head.png,0,小青蛇,74977,0,1,1,0,200,0,0,0,0,0,0,500,"2018-08-02 14:55:54","2018-08-02 14:55:54","2018-08-03 15:52:17",0,'','','',''
33,1533192955013,1533192955013,http://localhost:8000/uri/head.png,0,小青蛇,17046,0,1,1,0,621,0,0,0,0,0,0,500,"2018-08-02 14:55:55","2018-08-02 14:55:55","2018-08-03 15:52:17",0,'','','',''
34,1533192955179,1533192955179,http://localhost:8000/uri/head.png,0,小青蛇,48455,0,1,1,0,385,0,0,0,0,0,0,500,"2018-08-02 14:55:55","2018-08-02 14:55:55","2018-08-03 15:52:17",0,'','','',''
35,1533192955308,1533192955308,http://localhost:8000/uri/head.png,0,小青蛇,72481,0,1,1,0,221,0,0,0,0,0,0,500,"2018-08-02 14:55:55","2018-08-02 14:55:55","2018-08-03 15:52:17",0,'','','',''
36,1533192955468,1533192955468,http://localhost:8000/uri/head.png,0,小青蛇,54016,0,1,1,0,342,0,0,0,0,0,0,500,"2018-08-02 14:55:55","2018-08-02 14:55:55","2018-08-03 15:52:17",0,'','','',''
37,1533192955627,1533192955627,http://localhost:8000/uri/head.png,0,小青蛇,82874,0,1,1,0,136,0,0,0,0,0,0,500,"2018-08-02 14:55:55","2018-08-02 14:55:55","2018-08-03 15:52:17",0,'','','',''
38,1533192975206,1533192975206,http://localhost:8000/uri/head.png,0,小青蛇,33468,0,1,1,0,503,0,0,0,0,0,0,500,"2018-08-02 14:56:15","2018-08-02 14:56:15","2018-08-04 14:53:50",0,'','','',''
39,1533192976996,1533192976996,http://localhost:8000/uri/head.png,0,小青蛇,74052,0,1,1,0,209,0,0,0,0,0,0,500,"2018-08-02 14:56:17","2018-08-02 14:56:17","2018-08-03 15:52:17",0,'','','',''
40,1533192977676,1533192977676,http://localhost:8000/uri/head.png,0,小青蛇,44820,0,1,1,0,420,0,0,0,0,0,0,500,"2018-08-02 14:56:17","2018-08-02 14:56:17","2018-08-03 15:52:17",0,'','','',''
41,1533192978324,1533192978324,http://localhost:8000/uri/head.png,0,小青蛇,4446,0,1,1,0,708,0,0,0,0,0,0,500,"2018-08-02 14:56:18","2018-08-02 14:56:18","2018-08-03 15:52:17",0,'','','',''
42,1533192979053,1533192979053,http://localhost:8000/uri/head.png,0,小青蛇,71713,0,1,1,0,227,0,0,0,0,0,0,500,"2018-08-02 14:56:19","2018-08-02 14:56:19","2018-08-03 15:52:17",0,'','','',''
43,1533192979701,1533192979701,http://localhost:8000/uri/head.png,0,小青蛇,66416,0,1,1,0,263,0,0,0,0,0,0,500,"2018-08-02 14:56:19","2018-08-02 14:56:19","2018-08-03 15:52:17",0,'','','',''
44,1533192980403,1533192980403,http://localhost:8000/uri/head.png,0,小青蛇,41622,0,1,1,0,439,0,0,0,0,0,0,500,"2018-08-02 14:56:20","2018-08-02 14:56:20","2018-08-03 15:52:17",0,'','','',''
45,1533192980978,1533192980978,http://localhost:8000/uri/head.png,0,小青蛇,36700,0,1,1,0,474,0,0,0,0,0,0,500,"2018-08-02 14:56:20","2018-08-02 14:56:20","2018-08-03 15:52:17",0,'','','',''
46,1533192981738,1533192981737,http://localhost:8000/uri/head.png,0,小青蛇,9517,0,1,1,0,675,0,0,0,0,0,0,500,"2018-08-02 14:56:21","2018-08-02 14:56:21","2018-08-03 15:52:17",0,'','','',''
47,1533192982339,1533192982339,http://localhost:8000/uri/head.png,0,小青蛇,21835,0,1,1,0,588,0,0,0,0,0,0,500,"2018-08-02 14:56:22","2018-08-02 14:56:22","2018-08-03 15:52:17",0,'','','',''
48,1533192982960,1533192982960,http://localhost:8000/uri/head.png,0,小青蛇,37414,0,1,1,0,468,0,0,0,0,0,0,500,"2018-08-02 14:56:22","2018-08-02 14:56:22","2018-08-03 15:52:17",0,'','','',''
